grid_latitude,grid_longitude,weathercode,temperature_2m_mean,temperature_2m_max,temperature_2m_min,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,shortwave_radiation_sum,Number of Sites Reporting,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_lag_7,aqi_roll_mean_3,aqi_roll_mean_7,aqi_roll_std_7,aqi_diff_1,aqi_diff_7,month,weekday,season,month_sin,month_cos,weekday_sin,weekday_cos,temp_range,wind_dir_sin,wind_dir_cos,AQI
42.448944,-76.498665,3,2.1,4.9,-0.9,35800.49,5110.59,0.0,0.0,0.0,0.0,2.56,8.0,6.13,1.0,28.0,29.0,26.0,25.0,27.666666666666668,23.571428571428573,4.790864322059308,-1.0,3.0,1,2,4,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,5.800000000000001,0.3583679495453002,-0.9335804264972017,25.0
42.448944,-76.498665,3,3.3,5.6,1.8,35937.24,0.0,0.0,0.0,0.0,0.0,3.24,7.7,2.36,1.0,25.0,28.0,29.0,22.0,27.333333333333332,23.571428571428573,4.790864322059308,-3.0,3.0,2,3,4,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,3.8,-0.12186934340514731,-0.9925461516413221,23.0
42.448944,-76.498665,3,2.7,3.5,0.8,36075.45,0.0,0.0,0.0,0.0,0.0,4.42,9.4,3.89,1.0,23.0,25.0,28.0,16.0,25.333333333333332,23.714285714285715,4.7509397566616665,-2.0,7.0,2,4,4,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,2.7,-0.5591929034707466,0.8290375725550418,21.0
42.448944,-76.498665,3,-0.1,1.5,-2.7,36216.39,10800.0,0.0,0.0,0.0,0.0,4.46,7.8,7.48,1.0,21.0,23.0,25.0,19.0,23.0,24.428571428571427,3.644957377763715,-2.0,2.0,2,5,4,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,4.2,-0.6156614753256582,0.7880107536067221,26.0
42.448944,-76.498665,45,-0.7,4.8,-5.0,36360.0,28800.0,0.0,0.0,0.0,0.0,2.9,5.5,11.49,1.0,26.0,21.0,23.0,26.0,23.333333333333332,25.428571428571427,2.7602622373693904,5.0,0.0,2,6,4,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,9.8,-0.6691306063588581,0.7431448254773944,29.0
42.448944,-76.498665,3,0.8,3.9,-1.2,36506.09,21600.0,0.0,0.0,0.0,0.0,4.74,9.1,9.63,1.0,29.0,26.0,21.0,29.0,25.333333333333332,25.857142857142858,3.0783421635988306,3.0,0.0,2,0,4,0.8660254037844386,0.5000000000000001,0.0,1.0,5.1,-0.6560590289905074,0.7547095802227719,36.0
42.448944,-76.498665,1,-1.9,4.1,-7.3,36654.46,34828.8,0.0,0.0,0.0,0.0,3.56,5.0,12.36,1.0,36.0,29.0,26.0,28.0,30.333333333333332,26.857142857142858,4.879500364742651,7.0,8.0,2,1,4,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,11.399999999999999,-0.7771459614569708,0.6293203910498375,36.0
42.448944,-76.498665,2,0.2,8.3,-5.9,36804.95,34901.28,0.0,0.0,0.0,0.0,1.9,2.5,12.41,1.0,36.0,36.0,29.0,25.0,33.666666666666664,28.0,5.999999999999988,0.0,11.0,2,2,4,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,14.200000000000001,0.9986295347545738,0.052335956242943966,36.0
42.448944,-76.498665,3,6.0,13.2,0.7,36957.36,27775.53,0.0,0.0,0.0,0.0,3.49,10.3,12.32,1.0,36.0,36.0,36.0,23.0,36.0,29.571428571428573,6.502746672423441,0.0,13.0,2,3,4,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,12.5,0.8090169943749475,-0.587785252292473,35.0
42.448944,-76.498665,3,10.0,16.7,5.3,37111.51,32400.0,0.0,0.0,0.0,0.0,4.3,10.5,12.29,1.0,35.0,36.0,36.0,21.0,35.666666666666664,31.285714285714285,6.047431568147623,-1.0,14.0,2,4,4,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,11.399999999999999,0.6819983600624986,-0.7313537016191705,38.0
