State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
New York,Tompkins,36,109,2024-05-03,45,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-04,35,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-05,26,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-06,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-07,50,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-08,49,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-09,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-10,23,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-11,30,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-12,27,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-13,37,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-14,45,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-15,33,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-16,38,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-17,44,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-18,25,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-19,36,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-20,49,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-21,49,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-22,43,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-23,46,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-24,50,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-25,47,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-26,45,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-27,37,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-28,35,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-29,32,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-30,36,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-05-31,46,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-01,64,Moderate,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-02,47,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-03,43,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-04,71,Moderate,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-05,47,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-06,40,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-07,32,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-08,33,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-09,32,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-06-10,17,Good,Ozone,36-109-9991,1
